ELEMENTO.ID;DSC;TIPO;CONTEXTO;PORC.APL;EDIFICIO;NIVEL;PISO;DEPTO;COSTO;COSTO.PORC
E13.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
E13.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
E13.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
E13.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
E13.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E13;N1;;;128.091333;0.0003704047
E14.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F0.C6;Capa 6 Nivel 0;NIVEL;NIVEL;0.5;E14;N0;;;64.045667;0.0001852023
E14.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E14.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E14.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E14;N1;;;64.045667;0.0001852023
E16.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E16.F0.C6;Capa 6 Nivel 0;NIVEL;NIVEL;0.5;E16;N0;;;64.045667;0.0001852023
E16.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E18.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E18.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E18.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E18.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E19.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E19.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E19.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E19.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E19.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E19.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E19;N1;;;128.091333;0.0003704047
E20.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E20.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E20.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E20.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E20.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E20.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E20;N1;;;128.091333;0.0003704047
E18.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E18.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E18;N1;;;128.091333;0.0003704047
E17.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E16.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E16.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E16.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E16.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E16.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E16;N1;;;64.045667;0.0001852023
E17.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F0.C6;Capa 6 Nivel 0;NIVEL;NIVEL;0.5;E17;N0;;;64.045667;0.0001852023
E17.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E17.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E17.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E17.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E17.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E17;N1;;;64.045667;0.0001852023
E11.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E11;N1;;;128.091333;0.0003704047
E12.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E12;N1;;;128.091333;0.0003704047
E01.F0.C1;Capa 1 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E03.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E03.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E03.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E03.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E04.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E04.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E04.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E04.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E04.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E04.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E04;N1;;;128.091333;0.0003704047
E05.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E05.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E05.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E05.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E05.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E05.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E05;N1;;;128.091333;0.0003704047
E03.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E03.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E03;N1;;;128.091333;0.0003704047
E02.F1.C6;Capa 6;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E01.F0.C2;Capa 2 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C3;Capa 3 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C4;Capa 4 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C5;Capa 5 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F0.C6;Capa 6 Nivel 0;NIVEL;NIVEL;0.5;E01;N0;;;64.045667;0.0001852023
E01.F1.C1;Capa 1 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C2;Capa 2 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C3;Capa 3 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C4;Capa 4 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C5;Capa 5 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E01.F1.C6;Capa 6 Nivel 1;NIVEL;NIVEL;0.5;E01;N1;;;64.045667;0.0001852023
E02.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E02.F1.C2;Capa 2;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E02.F1.C3;Capa 3;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E02.F1.C4;Capa 4;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E02.F1.C5;Capa 5;NIVEL;NIVEL;1.0;E02;N1;;;128.091333;0.0003704047
E06.F1.C1;Capa 1;NIVEL;NIVEL;1.0;E06;N1;;;128.091333;0.0003704047
